symbol,exchange,quote_type,is_primary,universe_sha256
ADVB,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ADXN,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEBI,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEC,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEE,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEG,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEHL,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEHR,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEI,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEIS,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEM,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEMD,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AENT,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEO,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEP,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AER,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AERO,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AERT,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AES,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AESI,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEVA,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEXA,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AEYE,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AFBI,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AFCG,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AFG,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AFJK,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AFL,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AFRI,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AFRM,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AFYA,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AG,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGAE,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGCC,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGCO,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGEN,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGH,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGI,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGIO,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGL,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGM,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGM-A,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGMH,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGNC,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGNCM,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGO,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGPU,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGRO,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGRZ,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGX,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AGYS,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AHCO,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AHG,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AHH,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AHL,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AHMA,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AHR,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AHT,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AI,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIFF,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIFU,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIG,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIHS,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AII,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIIA,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIIO,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIMD,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIN,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIOS,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIOT,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIP,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIR,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIRE,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIRG,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIRJ,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIRO,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIRS,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIRT,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AISP,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIT,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIV,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIXC,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIXI,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AIZ,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AJG,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AKA,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AKAM,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AKAN,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AKBA,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AKO-A,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AKO-B,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AKR,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AKTX,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
AL,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALAB,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALAR,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALB,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALBT,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALC,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALCO,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALCY,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALDF,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALDX,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALEC,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALEX,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALF,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALG,NYSE,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
ALGM,NASDAQ,EQUITY,True,18930489a27e496fac5ce97cb38c3c4e789a35a06fba3d3e8ed08ae1136b7d89
