symbol,exchange,quoteType,is_primary,is_etf,is_adr,is_otc,security_type
APLD,NASDAQ,EQUITY,1,0,0,0,Common Stock
APLE,NYSE,EQUITY,1,0,0,0,Common Stock
APLM,NASDAQ,EQUITY,1,0,0,0,Common Stock
APLS,NASDAQ,EQUITY,1,0,0,0,Common Stock
APM,NASDAQ,EQUITY,1,0,0,0,Common Stock
APO,NYSE,EQUITY,1,0,0,0,Common Stock
APOG,NASDAQ,EQUITY,1,0,0,0,Common Stock
APP,NASDAQ,EQUITY,1,0,0,0,Common Stock
APPF,NASDAQ,EQUITY,1,0,0,0,Common Stock
APPN,NASDAQ,EQUITY,1,0,0,0,Common Stock
APPS,NASDAQ,EQUITY,1,0,0,0,Common Stock
APRE,NASDAQ,EQUITY,1,0,0,0,Common Stock
APTV,NYSE,EQUITY,1,0,0,0,Common Stock
APVO,NASDAQ,EQUITY,1,0,0,0,Common Stock
APWC,NASDAQ,EQUITY,1,0,0,0,Common Stock
APXT,NASDAQ,EQUITY,1,0,0,0,Common Stock
APYX,NASDAQ,EQUITY,1,0,0,0,Common Stock
AQB,NASDAQ,EQUITY,1,0,0,0,Common Stock
AQMS,NASDAQ,EQUITY,1,0,0,0,Common Stock
AQN,NYSE,EQUITY,1,0,0,0,Common Stock
AQST,NASDAQ,EQUITY,1,0,0,0,Common Stock
AR,NYSE,EQUITY,1,0,0,0,Common Stock
ARAI,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARAY,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARBB,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARBE,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARBK,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARCB,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARCC,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARCO,NYSE,EQUITY,1,0,0,0,Common Stock
ARCT,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARDT,NYSE,EQUITY,1,0,0,0,Common Stock
ARDX,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARE,NYSE,EQUITY,1,0,0,0,Common Stock
AREB,NASDAQ,EQUITY,1,0,0,0,Common Stock
AREC,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARES,NYSE,EQUITY,1,0,0,0,Common Stock
ARGX,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARHS,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARI,NYSE,EQUITY,1,0,0,0,Common Stock
ARKO,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARKR,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARL,NYSE,EQUITY,1,0,0,0,Common Stock
ARLO,NYSE,EQUITY,1,0,0,0,Common Stock
ARLP,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARM,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARMK,NYSE,EQUITY,1,0,0,0,Common Stock
AROC,NYSE,EQUITY,1,0,0,0,Common Stock
AROW,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARQ,NASDAQ,EQUITY,1,0,0,0,Common Stock
ARQQ,NASDAQ,EQUITY,1,0,0,0,Common Stock
